2022-11-30 22:49:11.135 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2022-11-30 22:49:11.135 [info] Added views:workbench.panel.output in workbench.panel.output
2022-11-30 22:49:11.135 [info] Added views:terminal in terminal
2022-11-30 22:49:11.135 [info] Added views:outline in workbench.view.explorer
2022-11-30 22:49:11.135 [info] Added views:workbench.scm in workbench.view.scm
2022-11-30 22:49:11.135 [info] Added views:workbench.view.search in workbench.view.search
2022-11-30 22:49:11.135 [info] Added views:timeline in workbench.view.explorer
2022-11-30 22:49:11.135 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2022-11-30 22:49:11.488 [info] Added views:workbench.debug.welcome in workbench.view.debug
2022-11-30 22:49:13.114 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2022-11-30 22:49:16.809 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2022-11-30 22:49:16.814 [info] Removed views:workbench.views.extensions.popular from workbench.view.extensions
2022-11-30 22:49:17.446 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2022-11-30 22:49:17.468 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2022-11-30 22:53:56.766 [info] Added views:jupyterViewVariables in workbench.view.extension.jupyter-variables
2022-11-30 22:53:58.823 [info] Added views:workbench.view.testing in workbench.view.extension.test
2022-11-30 22:54:28.474 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2022-11-30 22:54:28.484 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.breakPointsView in workbench.view.debug
2022-11-30 22:54:57.863 [info] Removed views:workbench.debug.breakPointsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2022-11-30 22:54:57.938 [info] Added views:workbench.debug.welcome in workbench.view.debug
2022-11-30 22:55:11.902 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2022-11-30 22:55:11.912 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.breakPointsView in workbench.view.debug
2022-11-30 22:55:24.336 [info] Removed views:workbench.debug.breakPointsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2022-11-30 22:55:24.402 [info] Added views:workbench.debug.welcome in workbench.view.debug
2022-11-30 22:55:44.145 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2022-11-30 22:55:44.155 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.breakPointsView in workbench.view.debug
